Temperature,Humidity,Moisture,Disease
32.7,54.3,29.1,Leaf Spot
26.8,68.7,59.3,Powdery Mildew
29.3,61.0,44.5,Powdery Mildew
32.3,53.2,20.9,Leaf Spot
16.3,86.4,47.7,Wilt
39.6,37.7,10.7,Blight
17.2,86.8,46.0,Wilt
31.6,61.8,24.9,Leaf Spot
16.1,74.6,38.0,Wilt
39.6,20.2,14.6,Blight
26.6,49.4,27.4,Rust
36.9,23.2,17.2,Blight
28.1,66.6,42.6,Powdery Mildew
28.1,78.2,56.7,Powdery Mildew
38.0,27.8,13.3,Blight
24.4,41.9,10.3,No Disease
32.3,66.9,27.9,Leaf Spot
39.3,36.2,16.2,Blight
21.0,40.5,15.8,No Disease
36.7,29.1,14.8,Blight
32.2,62.2,21.5,Leaf Spot
21.7,49.0,19.9,No Disease
18.7,78.4,31.6,Wilt
21.1,46.0,19.0,No Disease
22.6,41.9,19.3,No Disease
36.1,25.8,10.6,Blight
24.0,54.3,33.4,Rust
18.1,88.6,43.3,Wilt
34.9,64.7,23.1,Leaf Spot
30.1,69.1,52.2,Powdery Mildew
34.0,53.3,23.5,Leaf Spot
25.2,56.2,37.9,Rust
23.7,40.6,18.2,No Disease
36.6,22.8,17.2,Blight
18.2,76.6,34.6,Wilt
24.2,45.3,19.8,No Disease
20.1,49.1,15.7,No Disease
26.9,79.5,41.0,Powdery Mildew
36.0,25.1,17.1,Blight
23.1,53.9,28.0,Rust
37.6,23.4,11.1,Blight
23.1,47.0,17.3,No Disease
17.7,79.0,43.3,Wilt
38.5,32.8,17.8,Blight
20.6,43.8,29.8,Rust
28.7,54.5,35.2,Rust
26.7,74.7,47.2,Powdery Mildew
30.4,63.3,29.3,Leaf Spot
25.3,45.6,20.8,Rust
16.1,79.5,33.4,Wilt
33.9,77.6,47.4,Powdery Mildew
20.8,43.2,17.9,No Disease
24.5,42.4,22.2,Rust
25.5,62.2,59.4,Powdery Mildew
31.2,55.2,21.2,Leaf Spot
17.0,81.0,42.6,Wilt
32.0,63.8,21.0,Leaf Spot
15.2,85.6,39.5,Wilt
20.9,56.7,37.6,Rust
24.2,48.0,12.5,No Disease
26.9,76.9,56.5,Powdery Mildew
25.7,41.0,31.0,Rust
28.1,79.0,55.7,Powdery Mildew
39.5,33.2,11.3,Blight
23.8,40.9,12.6,No Disease
20.2,48.2,10.9,No Disease
24.8,41.2,10.6,No Disease
31.0,73.3,54.7,Powdery Mildew
27.7,67.1,41.0,Powdery Mildew
24.8,48.6,18.0,No Disease
21.4,50.0,15.2,No Disease
39.4,29.9,13.0,Blight
22.5,58.1,23.1,Rust
26.7,47.3,26.8,Rust
15.3,73.4,35.5,Wilt
21.0,49.0,16.9,No Disease
18.8,77.3,43.7,Wilt
31.4,73.6,49.5,Powdery Mildew
24.1,55.7,27.1,Rust
22.9,41.6,15.1,No Disease
16.2,72.8,47.4,Wilt
26.6,40.2,28.3,Rust
33.8,78.0,45.6,Powdery Mildew
27.1,74.3,55.2,Powdery Mildew
18.2,83.2,43.8,Wilt
17.2,85.8,35.7,Wilt
30.5,73.1,45.3,Powdery Mildew
25.6,40.6,35.0,Rust
22.0,48.8,33.7,Rust
32.8,60.9,23.2,Leaf Spot
39.9,21.0,11.4,Blight
37.8,35.5,15.8,Blight
24.7,41.0,14.0,No Disease
27.7,40.2,38.2,Rust
17.7,72.4,49.2,Wilt
18.8,81.6,46.0,Wilt
34.9,65.7,54.5,Powdery Mildew
38.9,22.8,13.2,Blight
36.8,34.5,17.7,Blight
23.6,45.8,35.9,Rust
33.9,76.3,54.6,Powdery Mildew
34.9,56.9,25.5,Leaf Spot
17.0,85.0,31.5,Wilt
36.4,29.8,13.2,Blight
38.4,24.9,15.9,Blight
26.7,48.1,31.6,Rust
39.2,38.7,14.3,Blight
32.6,59.0,26.8,Leaf Spot
21.0,43.4,19.3,No Disease
26.4,69.7,53.7,Powdery Mildew
18.3,82.3,45.6,Wilt
21.8,47.1,15.8,No Disease
32.8,65.0,24.1,Leaf Spot
24.4,47.8,16.8,No Disease
40.0,21.1,11.3,Blight
28.1,75.5,57.0,Powdery Mildew
31.3,65.8,22.4,Leaf Spot
39.2,35.0,10.8,Blight
38.6,21.7,13.6,Blight
36.0,38.1,16.8,Blight
37.4,29.8,14.2,Blight
33.0,68.8,26.3,Leaf Spot
30.2,77.6,47.4,Powdery Mildew
36.5,33.7,17.3,Blight
18.9,83.7,42.9,Wilt
36.1,28.7,14.9,Blight
25.1,47.9,30.3,Rust
22.5,41.7,25.7,Rust
24.0,47.3,11.0,No Disease
17.1,80.2,46.5,Wilt
24.7,43.8,34.7,Rust
20.6,47.3,39.4,Rust
26.6,56.3,34.6,Rust
30.6,57.6,29.9,Leaf Spot
16.5,79.3,40.8,Wilt
20.8,42.4,14.0,No Disease
18.0,82.3,37.8,Wilt
23.8,43.4,13.9,No Disease
24.2,58.0,37.0,Rust
31.3,51.2,29.8,Leaf Spot
28.1,76.4,54.4,Powdery Mildew
26.3,58.4,39.3,Rust
17.4,82.9,39.1,Wilt
38.4,37.2,12.1,Blight
22.7,41.8,15.0,No Disease
32.4,56.4,26.9,Leaf Spot
28.5,43.7,35.4,Rust
17.5,78.3,40.4,Wilt
21.7,48.6,15.0,No Disease
24.7,41.5,35.8,Rust
22.6,42.9,12.5,No Disease
26.5,42.1,36.9,Rust
31.7,59.5,25.6,Leaf Spot
31.5,74.7,48.9,Powdery Mildew
17.1,84.0,41.3,Wilt
20.1,46.5,15.2,No Disease
20.9,48.7,23.0,Rust
34.3,75.8,50.7,Powdery Mildew
38.7,27.4,16.2,Blight
33.1,58.5,22.7,Leaf Spot
37.2,30.8,10.3,Blight
26.9,46.7,27.6,Rust
31.3,63.6,22.2,Leaf Spot
37.6,30.7,16.1,Blight
29.0,70.1,53.8,Powdery Mildew
34.1,66.5,24.4,Leaf Spot
34.5,67.6,23.5,Leaf Spot
24.2,49.0,20.0,No Disease
22.5,48.2,17.9,No Disease
33.2,66.2,23.4,Leaf Spot
22.6,43.1,12.7,No Disease
29.6,73.5,48.1,Powdery Mildew
22.6,42.5,11.8,No Disease
32.1,68.3,50.3,Powdery Mildew
30.3,66.9,27.0,Leaf Spot
21.6,40.8,13.7,No Disease
20.1,48.3,18.0,No Disease
32.2,56.0,28.3,Leaf Spot
32.7,62.4,26.6,Leaf Spot
33.4,59.9,20.1,Leaf Spot
31.7,57.8,27.3,Leaf Spot
36.3,32.1,15.1,Blight
20.6,47.6,18.1,No Disease
36.8,27.7,18.6,Blight
20.6,47.2,20.4,Rust
17.3,76.0,45.0,Wilt
16.9,88.4,34.9,Wilt
25.3,50.7,37.5,Rust
20.9,47.0,16.7,No Disease
25.5,79.9,59.4,Powdery Mildew
22.3,46.2,25.2,Rust
27.1,78.8,42.9,Powdery Mildew
34.6,67.3,25.0,Leaf Spot
18.5,81.2,35.5,Wilt
16.5,84.3,41.9,Wilt
27.1,72.7,44.0,Powdery Mildew
28.0,72.7,41.8,Powdery Mildew
22.9,56.0,27.2,Rust
37.9,38.3,18.5,Blight
27.3,62.0,42.0,Powdery Mildew
36.1,38.1,12.9,Blight
21.5,42.9,10.3,No Disease
23.6,49.9,14.9,No Disease
34.2,77.8,43.2,Powdery Mildew
16.8,79.3,31.8,Wilt
18.2,76.7,38.2,Wilt
39.1,26.9,12.1,Blight
31.2,66.4,22.3,Leaf Spot
22.9,41.8,22.1,Rust
28.4,50.2,34.8,Rust
39.3,21.5,14.4,Blight
15.1,82.3,43.2,Wilt
34.6,61.6,23.9,Leaf Spot
17.6,73.5,41.3,Wilt
30.8,64.2,22.4,Leaf Spot
17.5,82.0,42.3,Wilt
16.6,84.9,49.0,Wilt
18.9,75.5,41.7,Wilt
32.8,52.0,22.0,Leaf Spot
22.5,53.7,32.7,Rust
27.5,68.5,50.3,Powdery Mildew
15.9,76.4,39.5,Wilt
29.7,73.9,50.9,Powdery Mildew
36.2,24.9,13.2,Blight
30.3,65.1,44.0,Powdery Mildew
39.2,35.4,18.2,Blight
17.8,86.0,42.6,Wilt
34.9,67.7,42.7,Powdery Mildew
34.4,67.7,27.0,Leaf Spot
21.5,45.8,25.1,Rust
18.5,88.2,32.6,Wilt
30.8,60.2,28.2,Leaf Spot
18.4,84.6,31.1,Wilt
15.4,88.0,44.0,Wilt
34.7,51.5,22.0,Leaf Spot
24.6,54.0,21.1,Rust
34.4,53.8,27.7,Leaf Spot
37.2,22.2,15.0,Blight
27.1,78.1,55.2,Powdery Mildew
37.2,20.3,15.8,Blight
30.1,60.6,59.8,Powdery Mildew
26.0,48.1,28.8,Rust
24.1,40.5,17.0,No Disease
23.8,46.3,18.6,No Disease
31.9,71.7,48.4,Powdery Mildew
20.8,48.3,19.4,No Disease
37.9,37.3,12.5,Blight
24.3,43.8,13.4,No Disease
26.3,70.6,47.7,Powdery Mildew
36.6,31.0,12.1,Blight
26.9,73.7,54.5,Powdery Mildew
32.5,61.7,25.1,Leaf Spot
33.8,59.1,22.1,Leaf Spot
37.2,36.3,11.9,Blight
33.1,59.9,22.2,Leaf Spot
24.7,42.4,14.9,No Disease
33.5,56.1,26.0,Leaf Spot
26.0,70.3,59.8,Powdery Mildew
31.4,55.8,27.4,Leaf Spot
33.3,55.9,25.3,Leaf Spot
20.0,45.4,15.1,No Disease
20.2,52.1,27.5,Rust
39.7,30.5,13.3,Blight
16.6,76.5,33.9,Wilt
37.1,37.7,16.0,Blight
24.9,46.3,11.0,No Disease
17.1,71.8,39.3,Wilt
26.2,73.7,48.6,Powdery Mildew
21.1,44.0,28.3,Rust
25.6,50.2,35.0,Rust
15.2,89.2,33.0,Wilt
32.5,50.5,26.1,Leaf Spot
24.8,46.5,12.2,No Disease
22.7,41.9,13.4,No Disease
32.4,51.3,29.3,Leaf Spot
39.8,32.1,18.4,Blight
23.9,40.3,13.8,No Disease
31.8,65.7,23.6,Leaf Spot
18.9,74.6,41.8,Wilt
20.1,43.4,19.3,No Disease
17.0,86.2,47.3,Wilt
30.3,63.7,29.8,Leaf Spot
36.3,37.5,12.3,Blight
15.4,77.1,47.5,Wilt
25.0,57.5,25.5,Rust
33.3,50.5,22.4,Leaf Spot
31.6,54.8,20.2,Leaf Spot
15.5,78.8,33.1,Wilt
20.1,49.1,20.7,Rust
26.1,46.5,33.8,Rust
16.8,76.8,39.6,Wilt
18.2,86.6,42.7,Wilt
33.1,60.7,21.3,Leaf Spot
23.1,56.3,21.4,Rust
22.1,46.1,10.3,No Disease
24.9,51.7,34.8,Rust
15.9,86.1,43.4,Wilt
38.7,34.3,17.4,Blight
24.0,53.1,27.3,Rust
24.0,41.6,17.3,No Disease
38.4,32.7,15.8,Blight
20.1,40.5,22.3,Rust
20.1,49.4,13.7,No Disease
23.3,47.0,17.9,No Disease
